"start","end","temperature"
1588802400,1588806000,6.17
1588806000,1588809600,5.82
1588809600,1588813200,8.115
1588813200,1588816800,7.955
1588816800,1588820400,7.43
1588820400,1588824000,6.41
1588824000,1588827600,5.685
1588827600,1588831200,8.315
1588831200,1588834800,11.785
1588834800,1588838400,16.005
1588838400,1588842000,18.185
1588842000,1588845600,19.56
1588845600,1588849200,20.36
1588849200,1588852800,21.085
1588852800,1588856400,21.75
1588856400,1588860000,22.25
1588860000,1588863600,22.56
1588863600,1588867200,22.575
1588867200,1588870800,21.92
1588870800,1588874400,20.395
1588874400,1588878000,17.53
1588878000,1588881600,12.815
1588881600,1588885200,8.95
1588885200,1588888800,7.615
1588888800,1588892400,7.11
1588892400,1588896000,7.66
1588896000,1588899600,6.68
1588899600,1588903200,6.18
1588903200,1588906800,4.54
1588906800,1588910400,3.925
1588910400,1588914000,4.815
1588914000,1588917600,8.80333333333333
1588917600,1588921200,14.645
1588921200,1588924800,17.22
1588924800,1588928400,18.875
1588928400,1588932000,21.57
1588932000,1588935600,23.555
1588935600,1588939200,24.9
1588939200,1588942800,25.22
1588942800,1588946400,25.375
1588946400,1588950000,24.34
1588950000,1588953600,23.46
1588953600,1588957200,22.79
1588957200,1588960800,21.915
1588960800,1588964400,19.72
1588964400,1588968000,15.03
1588968000,1588971600,14.665
1588971600,1588975200,13.51
1588975200,1588978800,14.445
1588978800,1588982400,10.695
1588982400,1588986000,9.09
1588986000,1588989600,9.15
1588989600,1588993200,8.52
1588993200,1588996800,9.31
1588996800,1589000400,9.69
1589000400,1589004000,11.32
1589004000,1589007600,17.205
1589007600,1589011200,19.74
1589011200,1589014800,23.485
1589014800,1589018400,25.175
1589018400,1589022000,26.035
1589022000,1589025600,26.685
1589025600,1589029200,27.365
1589029200,1589032800,27.94
1589032800,1589036400,26.425
1589036400,1589040000,25.195
1589040000,1589043600,23.81
1589043600,1589047200,22.68
1589047200,1589050800,19.795
1589050800,1589054400,15.935
1589054400,1589058000,14.13
1589058000,1589061600,12.28
1589061600,1589065200,11.8666666666667
1589065200,1589068800,12.7166666666667
1589068800,1589072400,13.815
1589072400,1589076000,12.85
1589076000,1589079600,11.875
1589079600,1589083200,10.695
1589083200,1589086800,9.915
1589086800,1589090400,13.595
1589090400,1589094000,16.68
1589094000,1589097600,20.375
1589097600,1589101200,23.205
1589101200,1589104800,23.755
1589104800,1589108400,24.955
1589108400,1589112000,25.88
1589112000,1589115600,25.8
1589115600,1589119200,25.145
1589119200,1589122800,24.81
1589122800,1589126400,24.14
1589126400,1589130000,22.765
1589130000,1589133600,20.87
1589133600,1589137200,19.26
1589137200,1589140800,16.39
